date,open,high,low,close,settle,volume
2004-09-22,1234,1238,1189,1197,1206,163732
2004-09-23,1191,1197,1178,1187,1186,85099
2004-09-24,1182,1197,1179,1190,1190,72485
2004-09-27,1185,1189,1158,1159,1167,73356
2004-09-28,1160,1169,1157,1162,1163,41430
2004-09-29,1165,1167,1150,1154,1157,53599
2004-09-30,1149,1156,1126,1129,1139,62686
2004-10-08,1130,1147,1118,1142,1134,66506
2004-10-11,1138,1153,1131,1144,1145,63788
2004-10-12,1147,1158,1133,1148,1143,75414
2004-10-13,1141,1151,1139,1141,1144,56020
2004-10-14,1145,1151,1142,1148,1146,49289
2004-10-15,1145,1149,1135,1138,1139,52340
2004-10-18,1141,1142,1132,1137,1136,37547
2004-10-19,1135,1149,1134,1140,1141,55019
2004-10-20,1147,1156,1142,1153,1149,64792
2004-10-21,1151,1153,1144,1148,1148,52811
2004-10-22,1146,1148,1136,1138,1139,64894
2004-10-25,1135,1145,1131,1142,1139,55614
2004-10-26,1149,1150,1141,1144,1145,32834
2004-10-27,1146,1148,1142,1145,1144,36394
2004-10-28,1143,1149,1140,1147,1145,45834
2004-10-29,1143,1147,1140,1142,1143,36216
2004-11-01,1141,1143,1128,1135,1135,82420
2004-11-02,1131,1140,1131,1139,1136,57923
2004-11-03,1138,1141,1133,1140,1137,57955
2004-11-04,1140,1141,1136,1140,1138,47274
2004-11-05,1136,1154,1135,1144,1146,92916
2004-11-08,1147,1149,1142,1142,1144,49707
2004-11-09,1143,1146,1140,1142,1142,63139
2004-11-10,1144,1144,1138,1140,1139,62650
2004-11-11,1142,1144,1139,1140,1140,58945
2004-11-12,1140,1141,1133,1136,1138,62284
2004-11-15,1140,1151,1138,1146,1145,88338
2004-11-16,1149,1154,1145,1147,1148,74588
2004-11-17,1149,1152,1144,1149,1147,53681
2004-11-18,1153,1159,1150,1155,1154,76793
2004-11-19,1153,1156,1148,1155,1151,55745
2004-11-22,1149,1151,1147,1149,1149,58118
2004-11-23,1148,1154,1147,1149,1151,82951
2004-11-24,1151,1155,1150,1154,1152,58916
2004-11-25,1153,1172,1152,1169,1164,125752
2004-11-26,1167,1171,1161,1166,1167,70877
2004-11-29,1164,1165,1148,1150,1155,103621
2004-11-30,1149,1155,1147,1150,1151,68790
2004-12-01,1150,1158,1150,1157,1154,84847
2004-12-02,1155,1164,1152,1156,1157,79579
2004-12-03,1155,1161,1154,1160,1157,87735
2004-12-06,1164,1175,1158,1168,1168,124157
2004-12-07,1171,1171,1163,1164,1166,102528
2004-12-08,1159,1165,1157,1162,1160,137854
2004-12-09,1164,1172,1163,1170,1165,120620
2004-12-10,1167,1169,1163,1166,1165,106147
2004-12-13,1167,1173,1164,1172,1169,142262
